PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FG_PCT,FT_PCT,AST,TOV
Josh Hart,NYK,81,2706.7716666666665,0.434,0.791,331,118
Josh Minott,MIN,32,91.42833333333331,0.472,0.857,8,2
Josh Okogie,PHX,60,959.715,0.417,0.745,64,36
Josh Richardson,MIA,43,1102.83,0.444,0.944,105,36
Joshua Primo,LAC,2,10.266666666666667,0.333,0.0,0,4
Jrue Holiday,BOS,69,2263.278333333333,0.48,0.833,333,124
Juan Toscano-Anderson,SAC,11,52.66333333333333,0.25,0.0,4,2
Jules Bernard,WAS,19,149.275,0.453,0.556,16,8
Julian Champagnie,SAS,74,1467.875,0.408,0.815,103,57
Julian Phillips,CHI,40,322.55,0.416,0.684,13,10
Julian Strawther,DEN,50,545.415,0.369,0.71,47,23
Julius Randle,NYK,46,1630.095,0.472,0.781,229,159
Justin Champagnie,WAS,15,234.8383333333333,0.41,0.8,19,10
Justin Holiday,DEN,58,862.0133333333333,0.454,0.75,67,14
Justin Jackson,MIN,2,0.7,0.0,0.0,0,0
Justin Minaya,POR,34,380.98333333333335,0.297,0.556,21,9
Jusuf Nurkić,PHX,76,2078.035,0.51,0.64,301,175
KJ Martin,PHI,60,746.495,0.536,0.537,51,32
Kaiser Gates,NOP,1,7.433333333333334,0.0,0.0,0,0
Karl-Anthony Towns,MIN,62,2025.565,0.504,0.873,189,177
Kawhi Leonard,LAC,68,2330.04,0.525,0.885,244,119
Keegan Murray,SAC,77,2588.5666666666666,0.454,0.831,129,64
Keita Bates-Diop,BKN,53,664.59,0.434,0.762,38,15
Keldon Johnson,SAS,69,2038.361666666667,0.454,0.792,195,100
Kelly Olynyk,TOR,78,1758.73,0.555,0.833,347,152
Kelly Oubre Jr.,PHI,68,2055.32,0.441,0.75,101,87
Kendall Brown,IND,15,62.50833333333333,0.533,0.625,5,2
Kenneth Lofton Jr.,UTA,21,198.30166666666668,0.462,0.654,33,14
Kenrich Williams,OKC,69,1029.006666666667,0.468,0.5,93,32
Kentavious Caldwell-Pope,DEN,76,2401.7566666666667,0.46,0.894,183,75
Keon Ellis,SAC,57,978.485,0.461,0.743,85,37
Keon Johnson,BKN,5,61.40166666666666,0.381,0.917,3,5
Kessler Edwards,SAC,54,274.7416666666667,0.415,0.556,15,4
Kevin Durant,PHX,75,2790.6366666666668,0.523,0.856,378,244
Kevin Huerter,SAC,64,1562.2266666666667,0.443,0.766,166,53
Kevin Knox II,DET,31,560.2333333333333,0.462,0.909,23,22
Kevin Love,MIA,55,924.2633333333332,0.44,0.787,115,48
Kevon Harris,ORL,2,6.05,0.667,0.0,1,1
Kevon Looney,GSW,74,1194.4283333333333,0.597,0.675,133,50
Keyontae Johnson,OKC,9,66.2,0.313,0.0,4,4
Keyonte George,UTA,75,2022.5766666666664,0.391,0.848,332,188
Khris Middleton,MIL,55,1487.27,0.493,0.833,292,127
Killian Hayes,DET,42,1007.6583333333332,0.413,0.66,205,51
Kira Lewis Jr.,UTA,28,264.2366666666667,0.37,0.85,37,14
Klay Thompson,GSW,77,2284.168333333333,0.432,0.927,176,117
Kobe Brown,LAC,44,393.9983333333333,0.411,0.5,25,9
Kobe Bufkin,ATL,17,196.00333333333333,0.37,0.5,27,10
Kobi Simmons,TOR,4,67.43333333333334,0.429,0.0,12,1
Kris Dunn,UTA,66,1249.1766666666667,0.47,0.688,254,79
Kris Murray,POR,62,1348.2716666666668,0.396,0.661,80,55
Kristaps Porziņģis,BOS,57,1689.9483333333333,0.516,0.858,115,89
Kyle Anderson,MIN,79,1781.881666666667,0.46,0.708,331,91
Kyle Kuzma,WAS,70,2281.141666666667,0.463,0.775,296,192
Kyle Lowry,PHI,60,1689.7666666666669,0.432,0.84,253,85
Kyrie Irving,DAL,58,2029.6083333333331,0.497,0.905,299,106
LaMelo Ball,CHA,22,711.35,0.433,0.865,176,83
Lamar Stevens,MEM,38,559.0133333333333,0.45,0.778,28,24
Landry Shamet,WAS,46,726.4966666666667,0.431,0.826,54,30
Larry Nance Jr.,NOP,61,1216.138333333333,0.573,0.77,113,49
Lauri Markkanen,UTA,55,1819.746666666667,0.48,0.899,110,77
LeBron James,LAL,71,2503.6833333333334,0.54,0.75,589,245
Leaky Black,CHA,26,284.08166666666665,0.481,0.667,24,6
Leonard Miller,MIN,17,52.4,0.65,0.5,8,1
Lester Quinones,GSW,37,394.455,0.397,0.69,36,17
Lindell Wigginton,MIL,3,7.63,0.4,1.0,0,1
Lindy Waters III,OKC,38,280.2083333333333,0.471,1.0,24,7
